formula_actual,perovskite_type,predicted_bg,predicted_bg_corrected,energy_above_hull_eV,pd_score,application,lead_free
KTl2GaF6,double,2.9083430240318138,2.2901330169506804,0.0,0.8,Visible PD,True
KSnI3,single,2.5477636700856814,1.929553663004548,0.0,0.8,Visible PD,True
K2TeCl6,vacancy_ordered,2.998448903823556,2.380238896742423,0.0,0.8,Visible PD,True
Rb2TiCl6,vacancy_ordered,2.6469561291451056,2.028746122063972,0.0,0.8,Visible PD,True
Rb2PtCl6,vacancy_ordered,2.5332183881671453,1.915008381086012,0.0,0.8,Visible PD,True
Rb2PdF6,vacancy_ordered,2.773831494809439,2.1556214877283058,0.0,0.8,Visible PD,True
Rb3Bi2I9,Sb_Bi_ternary,2.849741816759161,2.231531809678028,0.0,0.8,Visible PD,True
Na2PdF6,vacancy_ordered,2.662714165029592,2.044504157948458,0.0,0.8,Visible PD,True
K2TeBr6,vacancy_ordered,2.583302785293965,1.965092778212832,0.0,0.8,Visible PD,True
Rb2GaAgF6,double,2.8463607668528312,2.228150759771698,0.0,0.8,Visible PD,True
Rb2TlSbI6,double,1.2126418506298209,0.5944318435486874,0.050424482500001,0.79,NIR PD,True
Rb2LiSbI6,double,2.0654043698250804,1.447194362743947,0.052837472500002,0.79,NIR PD,True
Rb2NaInI6,double,1.1595443561697132,0.5413343490885797,0.076963317666664,0.79,NIR PD,True
Rb2TlInI6,double,1.4045462116407426,0.7863362045596091,0.076054602666665,0.79,NIR PD,True
Rb2NaBiI6,double,2.433430286706871,1.8152202796257375,0.0502276315,0.79,Visible PD,True
K2TlInI6,double,1.2904379951764535,0.67222798809532,0.082486479249999,0.79,NIR PD,True
K2TlSbCl6,double,2.492716338311272,1.8745063312301389,0.070464367249999,0.79,Visible PD,True
K2NaSbI6,double,2.212959993545023,1.5947499864638894,0.0767649965,0.79,Visible PD,True
Cs2TlGaBr6,double,2.256012629784674,1.6378026227035405,0.071381373249999,0.79,Visible PD,True
Rb2NaGaBr6,double,1.9759688332614365,1.3577588261803029,0.083923606999996,0.79,NIR PD,True
Rb2TlGaBr6,double,2.1285975584089494,1.510387551327816,0.090565026499998,0.79,Visible PD,True
Rb2NaSbI6,double,2.1572061536901503,1.538996146609017,0.052287407500001,0.79,Visible PD,True
K2TlInBr6,double,2.258817728491939,1.6406077214108057,0.07564385675,0.79,Visible PD,True
Rb2GaAgCl6,double,1.7081721226577633,1.08996211557663,0.061879645125001,0.79,NIR PD,True
Rb2InGaCl6,double,2.151753074225795,1.5335430671446617,0.055148241812502,0.79,Visible PD,True
Rb2InGaBr6,double,1.58847844011772,0.9702684330365866,0.050291439999999,0.79,NIR PD,True
Rb2BiAuBr6,double,1.1908780964352332,0.5726680893540997,0.084601064874999,0.79,NIR PD,True
Rb2LiBiI6,double,2.489656979995189,1.871446972914056,0.0513581485,0.79,Visible PD,True
Rb2CuBiF6,double,1.8049966193686835,1.18678661228755,0.089162213049999,0.79,NIR PD,True
K2NaInI6,double,1.2388043109864215,0.620594303905288,0.097179144999999,0.79,NIR PD,True
K2NaInBr6,double,2.366048854485661,1.7478388474045277,0.055967704250001,0.79,Visible PD,True
K2LiBiI6,double,2.433997000425433,1.8157869933443,0.0783094535,0.79,Visible PD,True
K2InSbCl6,double,1.7963154393097145,1.1781054322285809,0.098802586972221,0.79,NIR PD,True
K2AgBiI6,double,1.1470832665949122,0.5288732595137787,0.0764294345,0.79,NIR PD,True
K2BiAuBr6,double,1.1325273312420046,0.5143173241608711,0.0911243314,0.79,NIR PD,True
K2GaAgCl6,double,1.7195839959333752,1.1013739888522416,0.07340300575,0.79,NIR PD,True
K2BiAuCl6,double,1.3723374629911882,0.7541274559100547,0.067988051666667,0.79,NIR PD,True
K2InGaCl6,double,2.2058378743719045,1.587627867290771,0.086348260062502,0.79,Visible PD,True
K2InGaBr6,double,1.5505310326875117,0.9323210256063782,0.087525278999998,0.79,NIR PD,True
Cs2BiAuBr6,double,1.2024803538549538,0.5842703467738203,0.069131519749999,0.79,NIR PD,True
Cs2BiAuCl6,double,1.4404309357344915,0.822220928653358,0.081083727500011,0.79,NIR PD,True
Cs2CuBiF6,double,1.9148113152786528,1.2966013081975194,0.061976604499999,0.79,NIR PD,True
Cs2NaGaBr6,double,1.9009267315054943,1.282716724424361,0.076300240749998,0.79,NIR PD,True
Cs2GaAgCl6,double,1.635505957764657,1.0172959506835233,0.068197048750002,0.79,NIR PD,True
Cs2InSbCl6,double,1.8903700991318664,1.2721600920507328,0.060560473500002,0.79,NIR PD,True
K2LiSbI6,double,2.098998906502884,1.4807888994217504,0.0737280955,0.79,NIR PD,True
Cs2SbAuCl6,double,1.1814960240696566,0.5632860169885231,0.087174309999997,0.79,NIR PD,True
K2NaBiI6,double,2.388492683695165,1.7702826766140318,0.080380875499999,0.79,Visible PD,True
Cs2NaSbBr6,double,2.937845831155939,2.3196358240748056,0.013583240500001,0.71,Visible PD,True
Cs2LiSbBr6,double,2.6433408232870925,2.025130816205959,0.022989746500001,0.71,Visible PD,True
K3Bi2I9,Sb_Bi_ternary,2.8033615568194814,2.185151549738348,0.016929999285714,0.71,Visible PD,True
KPbI3,single,2.496188346360329,1.877978339279196,0.014278023499999,0.71,Visible PD,False
K2NaSbBr6,double,2.922845037438754,2.3046350303576206,0.02880736275,0.71,Visible PD,True
KSnBr3,single,2.510288801057984,1.8920787939768504,0.012274417499998,0.71,Visible PD,True
